recordid,positionid,tradeid,asofdate,quantity,marketvalue,pnl,valuationmethod,price,created_ts,variance
1,POS000000000,TRD00010210,2020-01-18,211,41436.31,12172.11,MTM,474.95,2022-10-18 15:55:00,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
2,POS000000001,TRD00232194,2021-02-06,5219,328918.68,-28497.51,MTM,128.64,2024-08-29 20:19:36,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
3,POS000000002,TRD00986774,2022-11-05,1425,136506.53,9557.27,MTM,118.25,2025-11-21 16:11:42,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
4,POS000000003,TRD00664012,2021-09-03,9776,158006.93,36662.16,MTM,163.96,2021-08-25 22:30:58,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
5,POS000000004,TRD00783130,2024-09-27,2439,123166.32,-18491.09,MTM,311.16,2023-05-22 01:57:02,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
6,POS000000005,TRD00246363,2024-01-11,3599,240135.24,-29282.97,MTM,272.89,2024-09-19 01:20:22,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
7,POS000000006,TRD00646493,2025-05-21,2115,186977.82,39447.41,MODEL,313.5,2023-04-04 14:58:13,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
8,POS000000007,TRD00132618,2023-02-20,3199,215812.92,-34438.43,MTM,384.61,2025-06-15 04:53:01,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
9,POS000000008,TRD00542174,2025-06-29,5322,69215.36,10406.41,MTM,245.16,2025-07-10 15:05:35,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
10,POS000000009,TRD00461609,2022-04-23,6067,292788.64,-41151.86,MTM,477.5,2023-02-01 00:02:17,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
11,POS000000010,TRD00552304,2021-01-02,2840,493680.75,-12320.07,MTM,496.0,2022-04-01 08:01:41,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
12,POS000000011,TRD00924932,2024-11-19,9469,289946.34,16432.3,MODEL,56.05,2025-06-10 10:24:21,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
13,POS000000012,TRD00955831,2023-01-01,983,182429.19,7797.01,MODEL,11.71,2021-06-28 22:30:52,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
14,POS000000013,TRD00943042,2024-07-15,6740,406965.67,-44582.36,MTM,315.65,2023-01-04 13:09:35,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
15,POS000000014,TRD00387892,2025-09-24,5229,274297.22,20200.13,MODEL,464.92,2022-09-13 22:10:52,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
16,POS000000015,TRD00776028,2020-11-10,2838,480684.12,15377.07,MODEL,302.05,2021-10-10 16:54:36,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
17,POS000000016,TRD00562186,2025-12-16,2963,436663.43,32064.13,MTM,430.11,2024-11-28 01:36:52,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
18,POS000000017,TRD00298481,2024-07-27,1305,403450.56,-9116.15,MTM,188.13,2021-03-10 15:45:03,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
19,POS000000018,TRD00218844,2020-01-13,6144,167911.19,-1441.11,MTM,91.62,2023-12-23 17:52:16,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
20,POS000000019,TRD00906760,2023-10-03,4617,173535.53,17492.64,MODEL,77.81,2023-02-22 22:13:00,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
21,POS000000020,TRD00752434,2020-04-14,9270,186690.25,13827.09,MTM,429.25,2022-09-24 15:21:29,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
22,POS000000021,TRD00238394,2022-11-30,416,236205.08,10555.48,MODEL,444.16,2025-04-25 07:59:11,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
23,POS000000022,TRD00895092,2024-06-13,5329,372831.37,-17129.05,MTM,468.1,2023-09-19 13:09:41,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
24,POS000000023,TRD00411218,2026-01-12,3854,184784.7,-33857.26,MODEL,55.71,2023-07-10 10:32:02,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
25,POS000000024,TRD00485867,2023-10-29,7626,66967.11,29708.78,MTM,204.16,2024-05-12 06:07:31,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
26,POS000000025,TRD00804314,2022-08-26,9036,483608.73,40395.37,MTM,254.58,2020-04-14 18:57:41,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
27,POS000000026,TRD00732019,2025-07-03,1137,457316.52,3607.85,MODEL,367.31,2021-08-23 16:19:14,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
28,POS000000027,TRD00837806,2020-08-26,2820,274814.35,-17222.37,MODEL,136.12,2020-05-14 12:37:37,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
29,POS000000028,TRD00132034,2024-08-08,3203,183384.04,-3746.69,MTM,141.92,2022-09-19 13:11:36,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
30,POS000000029,TRD00185182,2026-02-27,2094,281512.52,36915.36,MODEL,225.08,2024-07-28 12:43:55,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
31,POS000000030,TRD00367839,2024-03-08,4576,412965.98,-45100.61,MTM,28.66,2022-03-04 11:17:33,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
32,POS000000031,TRD00111824,2023-08-06,4741,304530.14,8661.81,MODEL,147.46,2023-09-27 01:14:54,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
33,POS000000032,TRD00232804,2022-11-19,4368,59524.28,-6699.5,MODEL,438.89,2021-12-21 00:34:59,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
34,POS000000033,TRD00788490,2023-06-10,8717,25304.7,-33538.28,MTM,455.76,2023-06-13 22:22:29,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
35,POS000000034,TRD00530021,2020-06-22,1407,439954.51,24094.45,MTM,18.4,2022-11-03 13:57:12,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
36,POS000000035,TRD00683860,2026-01-07,5865,168105.46,-18875.3,MTM,87.13,2021-08-22 01:28:37,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
37,POS000000036,TRD00494027,2024-08-20,8394,142857.72,10611.12,MODEL,363.62,2025-04-08 12:33:27,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
38,POS000000037,TRD00292629,2021-11-06,5237,476148.37,-7807.98,MTM,18.0,2024-03-22 15:07:30,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
39,POS000000038,TRD00441447,2023-11-10,3673,411826.81,10213.86,MODEL,97.52,2023-08-07 15:14:54,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
40,POS000000039,TRD00698449,2023-01-27,5156,252284.96,-5987.63,MODEL,401.54,2024-11-27 13:37:43,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
41,POS000000040,TRD00154165,2020-06-01,457,133499.99,-29340.01,MODEL,355.49,2023-06-07 15:27:29,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
42,POS000000041,TRD00225533,2025-03-06,2185,31560.11,-1681.72,MODEL,144.5,2021-08-17 13:42:06,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
43,POS000000042,TRD00349654,2022-06-02,4240,487315.28,25971.36,MODEL,393.5,2024-08-12 11:35:31,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
44,POS000000043,TRD00573532,2024-12-16,4815,180605.86,-38524.8,MTM,113.23,2021-01-01 17:18:26,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
45,POS000000044,TRD00981283,2025-08-22,1473,478147.49,-17194.36,MTM,476.21,2023-07-23 00:08:29,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
46,POS000000045,TRD00790392,2025-06-27,7873,259535.28,-46749.67,MODEL,375.8,2024-08-03 22:39:36,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
47,POS000000046,TRD00714104,2025-01-02,5073,36479.95,-16383.96,MTM,230.14,2024-01-06 06:07:04,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
48,POS000000047,TRD00467128,2021-07-20,1306,463463.27,-9939.87,MTM,291.57,2022-05-19 14:07:19,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
49,POS000000048,TRD00878675,2024-07-11,2387,367376.17,-42777.58,MTM,428.27,2025-08-19 02:29:38,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
50,POS000000049,TRD00855498,2021-08-17,6196,437607.86,-38289.75,MODEL,458.15,2021-02-23 08:29:08,"PositionId=rare_value, TradeId=common_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
